nome_marca;descricao_situacao;descricao_natureza;nome_titular
GRUPOTEATRALFLORDELIS;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;TALITAMARIANACICHONLUDGERO
GRUPOTEATRALFLORDELIS;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;TALITAMARIANACICHONLUDGERO
GRUPOTEATRALFLORDELIS;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;TALITAMARIANACICHONLUDGERO
GRUPOTEATRALFLORDELIS;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;TALITAMARIANACICHONLUDGERO
GRUPOTEATRALFLORDELIS;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;TALITAMARIANACICHONLUDGERO
Maxfesta;Registrodemarcaemvigor;DeProduto;CLICK&FESTASLTDA
Maxfesta;Registrodemarcaemvigor;DeProduto;CLICK&FESTASLTDA
Maxfesta;Registrodemarcaemvigor;DeProduto;CLICK&FESTASLTDA
PROVOKDESENVOLVIMENTO;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;GAMAASSESSORIAEMPRESARIALEIRELI
PROVOKDESENVOLVIMENTO;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;GAMAASSESSORIAEMPRESARIALEIRELI
PROVOKDESENVOLVIMENTO;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;GAMAASSESSORIAEMPRESARIALEIRELI
SENTINELA;Registrodemarcaemvigor;DeProduto;INDUSTRIASREUNIDASRAYMUNDODAFONTES/A.
SENTINELA;Registrodemarcaemvigor;DeProduto;INDUSTRIASREUNIDASRAYMUNDODAFONTES/A.
SENTINELA;Registrodemarcaemvigor;DeProduto;INDUSTRIASREUNIDASRAYMUNDODAFONTES/A.
SENTINELA;Registrodemarcaemvigor;DeProduto;INDUSTRIASREUNIDASRAYMUNDODAFONTES/A.
KFKifarra;Pedidodefinitivamentearquivado;DeServiço;LUANALVESTORRES
KFKifarra;Pedidodefinitivamentearquivado;DeServiço;LUANALVESTORRES
KFKifarra;Pedidodefinitivamentearquivado;DeServiço;LUANALVESTORRES
SOLUTERGE;Registrodemarcaemvigor;DeProduto;LUBRICHEMICALIND.ECOM.DELUBRIFICANTESEPP-LTDA
SOLUTERGE;Registrodemarcaemvigor;DeProduto;LUBRICHEMICALIND.ECOM.DELUBRIFICANTESEPP-LTDA
SOLUTERGE;Registrodemarcaemvigor;DeProduto;LUBRICHEMICALIND.ECOM.DELUBRIFICANTESEPP-LTDA
ONEBEAUTYBAR;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;DAIANYBATISTADEMELO
ONEBEAUTYBAR;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;DAIANYBATISTADEMELO
ONEBEAUTYBAR;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;DAIANYBATISTADEMELO
PRÍNCIPEDELÍCIASPRONTAS;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;PRÍNCIPEINDÚSTRIAECOMÉRCIODEALIMENTOSCONGELADOSLTDA-EPP
PRÍNCIPEDELÍCIASPRONTAS;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;PRÍNCIPEINDÚSTRIAECOMÉRCIODEALIMENTOSCONGELADOSLTDA-EPP
PRÍNCIPEDELÍCIASPRONTAS;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;PRÍNCIPEINDÚSTRIAECOMÉRCIODEALIMENTOSCONGELADOSLTDA-EPP
VAMOSBRINCARCOMATURMADAMÔNICA;Registrodemarcaemvigor;DeServiço;MAURICIODESOUSAPRODUÇÕESS.A
VAMOSBRINCARCOMATURMADAMÔNICA;Registrodemarcaemvigor;DeServiço;MAURICIODESOUSAPRODUÇÕESS.A
VAMOSBRINCARCOMATURMADAMÔNICA;Registrodemarcaemvigor;DeServiço;MAURICIODESOUSAPRODUÇÕESS.A
VAMOSBRINCARCOMATURMADAMÔNICA;Registrodemarcaemvigor;DeServiço;MAURICIODESOUSAPRODUÇÕESS.A
biovallegroup;Pedidodefinitivamentearquivado;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
biovallegroup;Pedidodefinitivamentearquivado;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
biovallegroup;Pedidodefinitivamentearquivado;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
biovallegroup;Pedidodefinitivamentearquivado;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
biovallegroup;Pedidodefinitivamentearquivado;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
biovallegroup;Pedidodefinitivamentearquivado;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
VAMOSBRINCARCOMATURMADAMÔNICA;Registrodemarcaemvigor;DeServiço;MAURICIODESOUSAPRODUÇÕESS.A
VAMOSBRINCARCOMATURMADAMÔNICA;Registrodemarcaemvigor;DeServiço;MAURICIODESOUSAPRODUÇÕESS.A
VAMOSBRINCARCOMATURMADAMÔNICA;Registrodemarcaemvigor;DeServiço;MAURICIODESOUSAPRODUÇÕESS.A
VAMOSBRINCARCOMATURMADAMÔNICA;Registrodemarcaemvigor;DeServiço;MAURICIODESOUSAPRODUÇÕESS.A
POLIVITTASAÚDE;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;CENTROMÉDICOPOLIVITTASAÚDEEIRELI-ME
POLIVITTASAÚDE;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;CENTROMÉDICOPOLIVITTASAÚDEEIRELI-ME
DELÍCIASRUSCHEL;Registrodemarcaemvigor;DeServiço;FUSSINGER&FUSSINGERINDUSTRIAECOMERCIODEALIMENTOSLTDA.-ME
DELÍCIASRUSCHEL;Registrodemarcaemvigor;DeServiço;FUSSINGER&FUSSINGERINDUSTRIAECOMERCIODEALIMENTOSLTDA.-ME
DELÍCIASRUSCHEL;Registrodemarcaemvigor;DeServiço;FUSSINGER&FUSSINGERINDUSTRIAECOMERCIODEALIMENTOSLTDA.-ME
Velho45;Pedidodefinitivamentearquivado;DeServiço;FELIPERODRIGUES
Velho45;Pedidodefinitivamentearquivado;DeServiço;FELIPERODRIGUES
Velho45;Pedidodefinitivamentearquivado;DeServiço;FELIPERODRIGUES
AMERICANPATRIOTS;Registrodemarcaemvigor;DeProduto;THUYNGUYEN
AMERICANPATRIOTS;Registrodemarcaemvigor;DeProduto;THUYNGUYEN
AMERICANPATRIOTS;Registrodemarcaemvigor;DeProduto;THUYNGUYEN
STERLIXAMBIENTAL;Registrodemarcaemvigor;DeServiço;STERLIXAMBIENTALPIAUÍTRATAMENTODERESÍDUOSLTDA.
STERLIXAMBIENTAL;Registrodemarcaemvigor;DeServiço;STERLIXAMBIENTALPIAUÍTRATAMENTODERESÍDUOSLTDA.
STERLIXAMBIENTAL;Registrodemarcaemvigor;DeServiço;STERLIXAMBIENTALPIAUÍTRATAMENTODERESÍDUOSLTDA.
STERLIXAMBIENTAL;Registrodemarcaemvigor;DeServiço;STERLIXAMBIENTALPIAUÍTRATAMENTODERESÍDUOSLTDA.
biovallegroup;Registrodemarcaemvigor;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
biovallegroup;Registrodemarcaemvigor;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
biovallegroup;Registrodemarcaemvigor;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
biovallegroup;Registrodemarcaemvigor;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
biovallegroup;Registrodemarcaemvigor;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
biovallegroup;Registrodemarcaemvigor;DeServiço;BIOVALLESOLUÇÕESAMBIENTAISLTDA-ME
ZycaZero;Registrodemarcaemvigor;DeProduto;REKABANPRODUTOSNATURAISLTDA
ZycaZero;Registrodemarcaemvigor;DeProduto;REKABANPRODUTOSNATURAISLTDA
ZycaZero;Registrodemarcaemvigor;DeProduto;REKABANPRODUTOSNATURAISLTDA
SOUL.SET;Registrodemarcaemvigor;DeServiço;THIAGOFORNIGUISELINI
SOUL.SET;Registrodemarcaemvigor;DeServiço;THIAGOFORNIGUISELINI
SOUL.SET;Registrodemarcaemvigor;DeServiço;THIAGOFORNIGUISELINI
SOUL.SET;Registrodemarcaemvigor;DeServiço;THIAGOFORNIGUISELINI
CHEFLUZZA;Registrodemarcaemvigor;DeServiço;CHRESTAURANTEEIRELI-ME
CHEFLUZZA;Registrodemarcaemvigor;DeServiço;CHRESTAURANTEEIRELI-ME
CHEFLUZZA;Registrodemarcaemvigor;DeServiço;CHRESTAURANTEEIRELI-ME
STERLIXAMBIENTAL;Registrodemarcaemvigor;DeServiço;STERLIXAMBIENTALPIAUÍTRATAMENTODERESÍDUOSLTDA.
STERLIXAMBIENTAL;Registrodemarcaemvigor;DeServiço;STERLIXAMBIENTALPIAUÍTRATAMENTODERESÍDUOSLTDA.
STERLIXAMBIENTAL;Registrodemarcaemvigor;DeServiço;STERLIXAMBIENTALPIAUÍTRATAMENTODERESÍDUOSLTDA.
STERLIXAMBIENTAL;Registrodemarcaemvigor;DeServiço;STERLIXAMBIENTALPIAUÍTRATAMENTODERESÍDUOSLTDA.
sky.saver;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;SKY.ONETECNOLOGIAEMSOFTWARES.A.
sky.saver;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;SKY.ONETECNOLOGIAEMSOFTWARES.A.
sky.saver;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;SKY.ONETECNOLOGIAEMSOFTWARES.A.
sky.saver;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;SKY.ONETECNOLOGIAEMSOFTWARES.A.
sky.saver;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;SKY.ONETECNOLOGIAEMSOFTWARES.A.
guru.sky;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;SKY.ONETECNOLOGIAEMSOFTWARES.A.
guru.sky;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;SKY.ONETECNOLOGIAEMSOFTWARES.A.
guru.sky;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;SKY.ONETECNOLOGIAEMSOFTWARES.A.
guru.sky;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;SKY.ONETECNOLOGIAEMSOFTWARES.A.
guru.sky;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeServiço;SKY.ONETECNOLOGIAEMSOFTWARES.A.
artofbeer;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeProduto;ALEXANDREGONÇALVESDEOLIVEIRA
artofbeer;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeProduto;ALEXANDREGONÇALVESDEOLIVEIRA
BAIANIDADES;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;MARIAFERNANDAMACEDOLACERDA
BAIANIDADES;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;MARIAFERNANDAMACEDOLACERDA
BAIANIDADES;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;MARIAFERNANDAMACEDOLACERDA
ICJI-InstitutodeCoachingInfantoJuvenil;Registrodemarcaemvigor;DeServiço;INSTITUTODECOACHINGINFANTOJUVENILLTDA-ME
ICJI-InstitutodeCoachingInfantoJuvenil;Registrodemarcaemvigor;DeServiço;INSTITUTODECOACHINGINFANTOJUVENILLTDA-ME
ICJI-InstitutodeCoachingInfantoJuvenil;Registrodemarcaemvigor;DeServiço;INSTITUTODECOACHINGINFANTOJUVENILLTDA-ME
ICJI-InstitutodeCoachingInfantoJuvenil;Registrodemarcaemvigor;DeServiço;INSTITUTODECOACHINGINFANTOJUVENILLTDA-ME
ICJI-InstitutodeCoachingInfantoJuvenil;Registrodemarcaemvigor;DeServiço;INSTITUTODECOACHINGINFANTOJUVENILLTDA-ME
MEGtech;Pedidodefinitivamentearquivado;DeProduto;EMBRAFARMAPRODUTOSQUIMICOSEFARMACEUTICOSLTDA
MEGtech;Pedidodefinitivamentearquivado;DeProduto;EMBRAFARMAPRODUTOSQUIMICOSEFARMACEUTICOSLTDA
MEGtech;Pedidodefinitivamentearquivado;DeProduto;EMBRAFARMAPRODUTOSQUIMICOSEFARMACEUTICOSLTDA
ORAL-BULTRAFINO;Registrodemarcaemvigor;DeProduto;THEGILLETTECOMPANYLLC
ORAL-BULTRAFINO;Registrodemarcaemvigor;DeProduto;THEGILLETTECOMPANYLLC
ORAL-BULTRAFINO;Registrodemarcaemvigor;DeProduto;THEGILLETTECOMPANYLLC
ORAL-BULTRAFINO;Registrodemarcaemvigor;DeProduto;THEGILLETTECOMPANYLLC
OTICAVEJAMAIS;Registrodemarcaemvigor;DeServiço;SANDRAAPARECIDADOSSANTOS
OTICAVEJAMAIS;Registrodemarcaemvigor;DeServiço;SANDRAAPARECIDADOSSANTOS
OTICAVEJAMAIS;Registrodemarcaemvigor;DeServiço;SANDRAAPARECIDADOSSANTOS
MEGtech;Pedidodefinitivamentearquivado;DeProduto;EMBRAFARMAPRODUTOSQUIMICOSEFARMACEUTICOSLTDA
MEGtech;Pedidodefinitivamentearquivado;DeProduto;EMBRAFARMAPRODUTOSQUIMICOSEFARMACEUTICOSLTDA
MEGtech;Pedidodefinitivamentearquivado;DeProduto;EMBRAFARMAPRODUTOSQUIMICOSEFARMACEUTICOSLTDA
