nome_marca;descricao_situacao;descricao_natureza;nome_titular
MasterchefeBolo;Registrodemarcaemvigor;DeServiço;JJPRADOCONSULTORIAME
MasterchefeBolo;Registrodemarcaemvigor;DeServiço;JJPRADOCONSULTORIAME
MasterchefeBolo;Registrodemarcaemvigor;DeServiço;JJPRADOCONSULTORIAME
MasterchefeBolo;Registrodemarcaemvigor;DeServiço;JJPRADOCONSULTORIAME
MasterchefeBolo;Registrodemarcaemvigor;DeServiço;JJPRADOCONSULTORIAME
NotsoTrash;Pedidodefinitivamentearquivado;Certific.;NOTSOTRASH
Shadowplay;Pedidodefinitivamentearquivado;DeProduto;ROGERIAROSAXERXENEVSKY-ME
Shadowplay;Pedidodefinitivamentearquivado;DeProduto;ROGERIAROSAXERXENEVSKY-ME
Shadowplay;Pedidodefinitivamentearquivado;DeProduto;ROGERIAROSAXERXENEVSKY-ME
FORTISMACHINE;Pedidodefinitivamentearquivado;DeProduto;FLIGHTCOMERCIOECONFECÇÃODEART.DOVESTUÁRIOLTDA.ME
FORTISMACHINE;Pedidodefinitivamentearquivado;DeProduto;FLIGHTCOMERCIOECONFECÇÃODEART.DOVESTUÁRIOLTDA.ME
FORTISMACHINE;Pedidodefinitivamentearquivado;DeProduto;FLIGHTCOMERCIOECONFECÇÃODEART.DOVESTUÁRIOLTDA.ME
FORTISMACHINE;Pedidodefinitivamentearquivado;DeProduto;FLIGHTCOMERCIOECONFECÇÃODEART.DOVESTUÁRIOLTDA.ME
FORTISMACHINE;Pedidodefinitivamentearquivado;DeProduto;FLIGHTCOMERCIOECONFECÇÃODEART.DOVESTUÁRIOLTDA.ME
Ventine;Pedidodefinitivamentearquivado;DeProduto;VALMORBELTRAME
Ventine;Pedidodefinitivamentearquivado;DeProduto;VALMORBELTRAME
Ventine;Pedidodefinitivamentearquivado;DeProduto;VALMORBELTRAME
FARÓTTI;Registrodemarcaemvigor;DeServiço;CEREAISFAROTTILTDA
FARÓTTI;Registrodemarcaemvigor;DeServiço;CEREAISFAROTTILTDA
FARÓTTI;Registrodemarcaemvigor;DeServiço;CEREAISFAROTTILTDA
FARÓTTI;Registrodemarcaemvigor;DeProduto;CEREAISFAROTTILTDA
FARÓTTI;Registrodemarcaemvigor;DeProduto;CEREAISFAROTTILTDA
FARÓTTI;Registrodemarcaemvigor;DeProduto;CEREAISFAROTTILTDA
CongregaçãodePazeTransformação;Pedidodefinitivamentearquivado;Coletiva;MICHELEDEOLIVEIRAMARTINI
OBAGOURMET;Registrodemarcaemvigor;DeServiço;GRUPOFARTURADEHORTIFRUTS/A
OBAGOURMET;Registrodemarcaemvigor;DeServiço;GRUPOFARTURADEHORTIFRUTS/A
OBAGOURMET;Registrodemarcaemvigor;DeServiço;GRUPOFARTURADEHORTIFRUTS/A
OBAGOURMET;Registrodemarcaemvigor;DeServiço;GRUPOFARTURADEHORTIFRUTS/A
LABDREAMLABORATÓRIOVETERINÁRIO;Registrodemarcaemvigor;DeServiço;CCMPINTODELEMOSSERVICOSVETERINARIOS-ME
LABDREAMLABORATÓRIOVETERINÁRIO;Registrodemarcaemvigor;DeServiço;CCMPINTODELEMOSSERVICOSVETERINARIOS-ME
LABDREAMLABORATÓRIOVETERINÁRIO;Registrodemarcaemvigor;DeServiço;CCMPINTODELEMOSSERVICOSVETERINARIOS-ME
WineRed;Pedidodefinitivamentearquivado;DeProduto;RICARDOPINHEIRODONASCIMENTO
WineRed;Pedidodefinitivamentearquivado;DeProduto;RICARDOPINHEIRODONASCIMENTO
WineRed;Pedidodefinitivamentearquivado;DeProduto;RICARDOPINHEIRODONASCIMENTO
NOXBARBEARIA;Registrodemarcaemvigor;DeServiço;HENRIQUEFROTASANTOS
NOXBARBEARIA;Registrodemarcaemvigor;DeServiço;HENRIQUEFROTASANTOS
NOXBARBEARIA;Registrodemarcaemvigor;DeServiço;HENRIQUEFROTASANTOS
AquaTek;Pedidodefinitivamentearquivado;Coletiva;FLAVIOGADIACUNHA
Alagoane-se;Pedidodefinitivamentearquivado;Coletiva;PAULOSERGIOGARRIDOCASCAES
GerminaLaboratórioCriativo;Pedidodefinitivamentearquivado;Coletiva;FERNANDAALVESDUTRAKNOP
APOLLOenergia;Pedidodefinitivamentearquivado;Coletiva;INFINITYPARTICIPAÇÃOEMNOVOSNEGÓCIOSLTDA
TDADocumentos;Pedidodefinitivamentearquivado;DeServiço;TDADOCUMENTOSLTDAME
TDADocumentos;Pedidodefinitivamentearquivado;DeServiço;TDADOCUMENTOSLTDAME
TDADocumentos;Pedidodefinitivamentearquivado;DeServiço;TDADOCUMENTOSLTDAME
TDADocumentos;Pedidodefinitivamentearquivado;DeServiço;TDADOCUMENTOSLTDAME
TDADocumentos;Pedidodefinitivamentearquivado;DeServiço;TDADOCUMENTOSLTDAME
SAFRAFRUTASEVERDURAS;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;SAFRAHORTIFRUTILTDA-EPP
SAFRAFRUTASEVERDURAS;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;SAFRAHORTIFRUTILTDA-EPP
SAFRAFRUTASEVERDURAS;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;SAFRAHORTIFRUTILTDA-EPP
SAFRAFRUTASEVERDURAS;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;SAFRAHORTIFRUTILTDA-EPP
SAFRAFRUTASEVERDURAS;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;SAFRAHORTIFRUTILTDA-EPP
SAFRAFRUTASEVERDURAS;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;SAFRAHORTIFRUTILTDA-EPP
COCOMELODY;Registrodemarcaemvigor;DeProduto;CCMODACORP.
COCOMELODY;Registrodemarcaemvigor;DeProduto;CCMODACORP.
COCOMELODY;Registrodemarcaemvigor;DeProduto;CCMODACORP.
AGRÍCOLABOGDAN;Registrodemarcaemvigor;DeServiço;AGRÍCOLABOGDANLTDA
AGRÍCOLABOGDAN;Registrodemarcaemvigor;DeServiço;AGRÍCOLABOGDANLTDA
AGRÍCOLABOGDAN;Registrodemarcaemvigor;DeServiço;AGRÍCOLABOGDANLTDA
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
AMF;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ANDREASMAIERGMBH&CO.KG
O11ZE;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;YESBANANALTDAME
O11ZE;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;YESBANANALTDAME
PASSIONHAIRPROFESSIONAL;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeProduto;FABIOAPARECIDOCAZELATO
PASSIONHAIRPROFESSIONAL;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeProduto;FABIOAPARECIDOCAZELATO
PASSIONHAIRPROFESSIONAL;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeProduto;FABIOAPARECIDOCAZELATO
RE/MAX;Registrodemarcaemvigor;DeServiço;REMAXLLC
RE/MAX;Registrodemarcaemvigor;DeServiço;REMAXLLC
RE/MAX;Registrodemarcaemvigor;DeServiço;REMAXLLC
RE/MAX;Registrodemarcaemvigor;DeServiço;REMAXLLC
RE/MAX;Registrodemarcaemvigor;DeServiço;REMAXLLC
RE/MAX;Registrodemarcaemvigor;DeServiço;REMAXLLC
SELVAATICA;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;ETIENEORNELASMOTA
SELVAATICA;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;ETIENEORNELASMOTA
SELVAATICA;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;ETIENEORNELASMOTA
SOSSALGADOS;Registrodemarcaemvigor;DeProduto;FABRICADESALGADOSSOSSALGADOSEIRELI-ME
SOSSALGADOS;Registrodemarcaemvigor;DeProduto;FABRICADESALGADOSSOSSALGADOSEIRELI-ME
SOSSALGADOS;Registrodemarcaemvigor;DeProduto;FABRICADESALGADOSSOSSALGADOSEIRELI-ME
SOMOSAGRO;Pedidodefinitivamentearquivado;DeServiço;NEWCOPROGRAMADORAEPRODUTORADECOMUNICAÇÃOLTDA
SOMOSAGRO;Pedidodefinitivamentearquivado;DeServiço;NEWCOPROGRAMADORAEPRODUTORADECOMUNICAÇÃOLTDA
SOMOSAGRO;Pedidodefinitivamentearquivado;DeServiço;NEWCOPROGRAMADORAEPRODUTORADECOMUNICAÇÃOLTDA
MAISAGRO;Pedidodefinitivamentearquivado;DeServiço;NEWCOPROGRAMADORAEPRODUTORADECOMUNICAÇÃOLTDA
